0.104,0.16,1.8571,0.064,0.104,1.6,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,0.1232,0.3728
0.104,0.16,1.8571,0.064,0.104,1.6,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,0.1248,0.3936
0.072,0.112,1.8,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1264,0.4032
0.096,0.152,1.7143,0.056,0.096,1.4,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,0.1264,0.3856
0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,-0.328,0.7904
0.096,0.152,1.7143,0.056,0.096,1.4,0.016,0.024,2,0,0.008,0,0,0.008,0,0,0.008,0,0.1248,0.4176
0.056,0.096,1.4,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1248,0.4384
0,0.168,0,0,0.168,0,0,0.168,0,0,0.168,0,0,0.168,0,0,0.168,0,0.1056,0.328
0,-0.072,-0,0,-0.072,-0,0,-0.072,-0,0,-0.072,-0,0,-0.072,-0,0,-0.072,-0,0.1008,0.3376
0,0.224,0,0,0.224,0,0,0.224,0,0,0.224,0,0,0.224,0,0,0.224,0,0.0944,0.2176
0.04,0.04,Inf,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,0.1072,0.1744
0.088,0.112,3.6667,0.048,0.072,2,0,0.024,0,0,0.024,0,0,0.024,0,0,0.024,0,-0.3904,0.912
0.064,0.104,1.6,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1248,0.3632
0.224,0.296,3.1111,0.104,0.16,1.8571,0.08,0.12,2,0,0.04,0,0,0.04,0,0,0.04,0,0.1264,0.416
0.112,0.168,2,0.056,0.088,1.75,0.024,0.032,3,0,0.008,0,0,0.008,0,0,0.008,0,0.1248,0.416
0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0.0928,0.264
0.096,0.16,1.5,0.064,0.104,1.6,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,0.1376,0.4288
0.248,0.336,2.8182,0.136,0.2,2.125,0.088,0.144,1.5714,0,0.056,0,0,0.056,0,0,0.056,0,0.1296,0.3344
0.096,0.168,1.3333,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0.1456,0.3808
0.104,0.184,1.3,0.056,0.096,1.4,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1808,0.4864
0.104,0.184,1.3,0.056,0.096,1.4,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1808,0.4864
0.096,-0.488,-0.16438,0.048,-0.536,-0.082192,0,-0.584,-0,0,-0.584,-0,0,-0.584,-0,0,-0.584,-0,-0.3968,0.9184
0.08,0.136,1.4286,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,0,0.016,0,0.152,0.488
0.104,0.168,1.625,0.064,0.104,1.6,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,0.16,0.4864
0.112,0.192,1.4,0.072,0.128,1.2857,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,0.1568,0.4864
0.08,-0.392,-0.16949,0.024,-0.448,-0.050847,0,-0.472,-0,0,-0.472,-0,0,-0.472,-0,0,-0.472,-0,-0.4848,1.0944
0.088,0.144,1.5714,0.04,0.064,1.6667,0,0.024,0,0,0.024,0,0,0.024,0,0,0.024,0,0.1488,0.4848
0.096,0.168,1.3333,0.056,0.096,1.4,0.016,0.032,1,0,0.016,0,0,0.016,0,0,0.016,0,0.1456,0.4192
0.072,0.12,1.5,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0.1248,0.384
0.096,0.152,1.7143,0.056,0.088,1.75,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0.1472,0.4864
0.096,0.16,1.5,0.056,0.096,1.4,0.008,0.008,Inf,0,0,NaN,0,0,NaN,0,0,NaN,0.1472,0.4912
0.088,0.144,1.5714,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,0,0.016,0,0.1552,0.4848
0.08,0.136,1.4286,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,0,0.016,0,0.1536,0.4704
0.072,-0.184,-0.28125,0.024,-0.232,-0.09375,0,-0.256,-0,0,-0.256,-0,0,-0.256,-0,0,-0.256,-0,-0.4864,1.1264
0.088,-0.12,-0.42308,0.048,-0.16,-0.23077,0,-0.208,-0,0,-0.208,-0,0,-0.208,-0,0,-0.208,-0,-0.4848,1.1184
0.088,0.152,1.375,0.048,0.088,1.2,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1504,0.488
0.064,0.112,1.3333,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0.1536,0.4848
0.088,0.144,1.5714,0.048,0.08,1.5,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0.1456,0.4816
0.08,0.128,1.6667,0.032,0.056,1.3333,0,0.024,0,0,0.024,0,0,0.024,0,0,0.024,0,0.1472,0.4896
0.08,0.136,1.4286,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0.1504,0.4528
0.056,0.088,1.75,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0,0.032,0,0.1264,0.3824
0.072,0.12,1.5,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0.1536,0.4976
0.048,-0.312,-0.13333,0,-0.36,-0,0,-0.36,-0,0,-0.36,-0,0,-0.36,-0,0,-0.36,-0,-0.4848,1.1168
0.072,-0.28,-0.20455,0,-0.352,-0,0,-0.352,-0,0,-0.352,-0,0,-0.352,-0,0,-0.352,-0,-0.4928,1.1376
0.064,0.112,1.3333,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0.1504,0.4864
0.104,0.168,1.625,0.064,0.112,1.3333,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,0.1504,0.4848
0.056,0.104,1.1667,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,0.1264,0.3888
0.12,-0.152,-0.44118,0.064,-0.208,-0.23529,0,-0.272,-0,0,-0.272,-0,0,-0.272,-0,0,-0.272,-0,-0.52,1.2128
0.112,0.184,1.5556,0.056,0.096,1.4,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1552,0.5184
0,0.44,0,0,0.44,0,0,0.44,0,0,0.44,0,0,0.44,0,0,0.44,0,0.136,0.3968
0.128,0.208,1.6,0.072,0.128,1.2857,0.04,0.064,1.6667,0,0.024,0,0,0.024,0,0,0.024,0,0.1392,0.392
0.064,0.104,1.6,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0.1264,0.4176
0.096,-0.104,-0.48,0.056,-0.144,-0.28,0.016,-0.184,-0.08,0,-0.2,-0,0,-0.2,-0,0,-0.2,-0,-0.2176,0.5488
0.072,-0.184,-0.28125,0,-0.256,-0,0,-0.256,-0,0,-0.256,-0,0,-0.256,-0,0,-0.256,-0,-0.4992,1.1792
0,-0.128,-0,0,-0.128,-0,0,-0.128,-0,0,-0.128,-0,0,-0.128,-0,0,-0.128,-0,0.0912,0.2352
0.168,0.256,1.9091,0.08,0.144,1.25,0.048,0.088,1.2,0,0.04,0,0,0.04,0,0,0.04,0,0.1712,0.5072
