832.18,1.2702,1.1056,109.2,32.579,114.02,2.3714,1.867,0.60828
1022.3,1.2022,1.2896,99.899,42.856,118.95,2.3843,1.9833,0.47452
900.15,1.2917,0.9536,106.35,45.093,109.84,2.3349,1.8076,0.46953
1738.6,0.92499,1.4032,67.565,54.898,106,2.0214,2.1853,0.17751
756.46,1.4306,1.1552,101.85,70.745,108.46,2.6658,1.8633,0.69757
992.22,1.1786,0.9152,119.15,35.03,122.84,2.4931,2.1152,0.59177
804.05,1.3757,0.8976,124.42,32.622,122.96,2.5309,1.8397,0.68232
964.5,1.2007,0.9456,119.1,83.871,124.45,2.3079,1.9222,0.52397
761.96,1.4106,1.0016,111.02,78.678,123.03,2.6023,1.8449,0.76452
1718.2,0.99434,0.1888,110.88,68.054,122.18,2.094,2.1059,0.19456
1050,1.116,0.6352,98.682,17.846,124.42,2.151,1.9274,0.44435
1146.5,1.0802,1.1056,95.518,31.584,119.54,2.1009,1.9449,0.36465
1179.5,1.2098,0.84,104.25,36.404,120.2,2.0954,1.732,0.27472
1374.1,1.1729,1.0208,101.67,37.429,120.56,2.1419,1.8261,0.22571
1128.8,1.1976,0.576,99.185,31.316,113.16,2.232,1.8638,0.32696
920.87,1.3625,0.936,98.761,64.425,109.95,2.4423,1.7925,0.44164
701.04,1.4021,1.2528,90.208,54.157,109.81,2.6994,1.9252,0.87783
1019.6,1.1716,0.9072,93.169,65.191,115.88,2.438,2.081,0.51166
996.81,1.1794,0.9232,141.96,44.445,122.24,2.2777,1.9312,0.48637
1019.2,1.1685,0.688,94.184,64.549,112.2,2.0795,1.7796,0.36264
1109,1.1932,0.976,111.64,79.499,118.93,2.0764,1.7401,0.3104
969.9,1.2317,0.9408,130.97,11.887,122.51,2.5024,2.0316,0.56982
1714,0.92966,0.7264,120.08,15.466,122,2.1697,2.3339,0.23976
1173.7,1.0009,1.0752,115.51,76.176,107.64,2.0827,2.0809,0.35867
947.16,1.2304,1.0144,118.12,14.262,108.71,2.1694,1.7632,0.39934
1237.9,1.0259,0.5696,100.02,74.99,114.91,2.0577,2.0058,0.31979
833.38,1.2683,0.8432,124.78,79.424,118.18,3.3082,2.6083,1.2271
1215.9,1.2516,0.8304,89.463,63.066,120.44,2.2357,1.7863,0.27552
1021.9,1.4328,0.8192,89.036,64.271,117.44,2.2672,1.5824,0.29849
936.11,1.2104,0.9616,102.08,76.174,109.73,2.2368,1.848,0.45329
1142.1,1.0631,0.888,95.441,73.449,107.37,2.3131,2.1758,0.4131
1008,1.1865,1.032,100.23,73.307,111.72,2.1923,1.8477,0.3979
1026.3,1.1605,1.016,105.34,80.913,112.55,2.1157,1.823,0.37644
1055.9,1.2153,1.0672,101.95,75.21,116.27,2.1206,1.7449,0.33656
1074,1.1101,1.056,101.42,76.027,116.29,2.1248,1.914,0.39151
913.12,1.2455,1.1024,107.38,17.535,102.7,2.1901,1.7584,0.40371
1844.4,0.76155,1.2944,100.53,64.318,105.88,2.1687,2.8478,0.26755
1025.9,1.1696,1.0624,105.97,56.136,114.68,2.1418,1.8312,0.38728
1245.2,1.3323,0.9456,129.34,85.472,112.4,2.1588,1.6203,0.20175
